channel_title,total_views,total_videos,avg_views
MPL Indonesia,87773477,13,6751805.923076923
Ultimate FC Mobile,53900322,2,26950161.0
CaboomToons,53462562,2,26731281.0
Dannika,49655988,4,12413997.0
Daquavis,45454483,1,45454483.0
しうん,42768611,1,42768611.0
JudeLow,31434585,1,31434585.0
Blockical,30731061,1,30731061.0
ManySpider,29290671,2,14645335.5
Novannist,25374228,1,25374228.0
